id,geom,species,name,lat,lon,surveyed,gid
1,0104000020B20E00000100000001010000000697D49920D3F24087E6B7671A14D840,chinstrap,"""Rankin Inlet""",-54.7726,-35.8018,2007,1
2,0104000020B20E00000100000001010000007FA7B5276F38F24051411BFC7274D940,chinstrap,"""Vahsel Bay""",-54.7603,-35.8406,2007,2
3,0104000020B20E0000010000000101000000BB441C4181D2A2C0A465550CA987EB40,chinstrap,Annenkov Island 1,-54.4935,-37.0372,2007,3
4,0104000020B20E0000010000000101000000561DBCC2FC33AAC07AA0AE5253B9EA40,chinstrap,Annenkov Island 2,-54.5083,-37.0518,2007,4
5,0104000020B20E0000010000000101000000D35C85DEE98B9FC04F8A37DBD447EB40,chinstrap,Annenkov Island 3,-54.4981,-37.0312,2007,5
6,0104000020B20E0000010000000101000000434F1EEEC865D1401711C92A341CF840,chinstrap,Bjelland Point,-54.1125,-36.7276,2007,6
7,0104000020B20E0000010000000101000000557AEBB97D42EC40F6E05A1EDD32C740,chinstrap,Cape Disappointment,-54.89,-36.0981,2007,7
8,0104000020B20E00000100000001010000003E17E32E53FDF240C3B672850A40D940,chinstrap,Cape Vahsel islet,-54.7617,-35.7916,2007,8
9,0104000020B20E0000010000000101000000CB71DAD57192F240389483FA6EC3D540,chinstrap,Cooper Bay 1,-54.7941,-35.8173,2007,9
10,0104000020B20E0000010000000101000000BC02D8D3AE8EF240E798DFEDE29DD540,chinstrap,Cooper Bay 2,-54.7954,-35.8182,2007,10
11,0104000020B20E0000010000000101000000F6CC4C784177F2408E49A5FFB8FBD540,chinstrap,Cooper Bay 3,-54.7921,-35.8241,2007,11
12,0104000020B20E000001000000010100000049C2DC9AF231F3406BC847D4F762D440,chinstrap,Cooper Island east,-54.8064,-35.7772,2007,12
13,0104000020B20E000001000000010100000007CEA3A14DEEF2402DFF91872ECCD440,chinstrap,Cooper Island north,-54.8027,-35.7942,2007,13
14,0104000020B20E00000100000001010000000AEC58B62E4BF24098EE44667869D540,chinstrap,Cooper Sound east,-54.7975,-35.8349,2007,14
15,0104000020B20E000001000000010100000060B19C52D105F2406B80A94D8B3CD540,chinstrap,Cooper Sound west,-54.7993,-35.8521,2007,15
16,0104000020B20E0000010000000101000000A98840F0F65BCF409BB3B44A7D27E440,chinstrap,Pickersgill Islands island 4,-54.629,-36.7514,2007,16
17,0104000020B20E00000100000001010000007A4E14E12738E54024CBFD234507E040,gentoo,(no placename),-54.7033,-36.3259,1999,17
18,0104000020B20E00000100000001010000000F3CDF52F8F4DFC0268A297EDF96FA40,gentoo,(no placename) 1,-54.0206,-37.4993,1999,18
19,0104000020B20E00000100000001010000001D056FFF903FDFC03AC9DB4693B8FA40,gentoo,(no placename) 2,-54.0158,-37.4881,1999,19
20,0104000020B20E0000010000000101000000ED1A5FB1E75FDEC0A674B072A8B4FA40,gentoo,(no placename) 3,-54.0164,-37.4745,1999,20
21,0104000020B20E000001000000010100000036DD2FFF8F03D7C09F4C7AFF12A2F940,gentoo,Ample Bay,-54.0562,-37.3599,1999,21
22,0104000020B20E0000010000000101000000CC4E558EF8A6B7C0AD9A30ADDC02EB40,gentoo,Annenkov Island 1,-54.503,-37.0935,1999,22
23,0104000020B20E000001000000010100000018F7F923239BA9C0C1C341A461ACEA40,gentoo,Annenkov Island 2,-54.5093,-37.0506,1999,23
24,0104000020B20E000001000000010100000000BBA24D06419DC01D90F6459516EB40,gentoo,Annenkov Island 3,-54.5016,-37.0289,1999,24
25,0104000020B20E0000010000000101000000B992DBE79BADA2C0052B93E33D62EB40,gentoo,Annenkov Island 4,-54.4962,-37.0369,1999,25
26,0104000020B20E0000010000000101000000A3A51D26DAF9B3C013A52F0B3045EC40,gentoo,Annenkov Island 5,-54.4799,-37.0789,1999,26
27,0104000020B20E00000100000001010000003E68F1285C60B5C09AE4C2F0CE5CEC40,gentoo,Annenkov Island 6,-54.4782,-37.0844,1999,27
28,0104000020B20E000001000000010100000095DDE244F0B7B1400CC190CDB86DF840,gentoo,Antarctic Bay Morse Point 1,-54.1011,-36.9307,1999,28
29,0104000020B20E00000100000001010000008787A3687916B0401281AD610DB5F840,gentoo,Antarctic Bay Morse Point 2,-54.0908,-36.9371,1999,29
30,0104000020B20E00000100000001010000003167DFDD206AB340D76117A624EFF840,gentoo,Antarctic Bay Morse Point 3,-54.0825,-36.9241,1999,30
31,0104000020B20E000001000000010100000072B4912D2578BA40149D9E6826C5F840,gentoo,Antarctic Bay Morse Point 4,-54.0885,-36.8964,1999,31
32,0104000020B20E00000100000001010000000E12A5146C349340B1CF4EC68CC1F840,gentoo,Antarctic Bay west,-54.0891,-36.9812,1999,32
33,0104000020B20E00000100000001010000009B890C926C84B9C02AE42FE6D476F240,gentoo,Aspasia Point,-54.3206,-37.1004,1999,33
34,0104000020B20E0000010000000101000000263BE45E4799E44065694D427751F240,gentoo,Barff Peninsula - Sandebugten,-54.3242,-36.3516,1999,34
35,0104000020B20E0000010000000101000000A11FE9712744E340E00D18386474F340,gentoo,Barff Peninsula West,-54.2826,-36.3942,1999,35
36,0104000020B20E00000100000001010000007211951820BED0402531BDE43617F840,gentoo,Bjelland Point,-54.1133,-36.7378,1999,36
37,0104000020B20E00000100000001010000009013AC949DE5F04068DA3B090ABCE540,gentoo,Bjornstadt Bay,-54.5954,-35.9292,1999,37
38,0104000020B20E00000100000001010000004A3D18B8F5F19AC01516AD8FBB2DF940,gentoo,Blue Whale Harbour west 1,-54.0735,-37.0263,1999,38
39,0104000020B20E0000010000000101000000BF8FCEBBE80D95C0AFED72AA8902F940,gentoo,Blue Whale Harbour west 2,-54.0797,-37.0206,1999,39
40,0104000020B20E0000010000000101000000E331593B3CF3ED40D91A9A2F62D5D340,gentoo,Brandt Cove north,-54.8138,-36.0459,1999,40
41,0104000020B20E0000010000000101000000F72BF2ADEA78F140299D922AB4E8E740,gentoo,Cape Charlotte,-54.5551,-35.8938,1999,41
42,0104000020B20E0000010000000101000000335BCB68D230F140FFA2DF95A6FCE640,gentoo,Cape Charlotte south east 1,-54.5722,-35.9112,1999,42
43,0104000020B20E0000010000000101000000790BDE52FF37F140A0A23E678BADE640,gentoo,Cape Charlotte south east 2,-54.5779,-35.9093,1999,43
44,0104000020B20E0000010000000101000000E9AA5A7EAA13F1404D1C9B78CB92E640,gentoo,Cape Charlotte south east 3,-54.5799,-35.9182,1999,44
45,0104000020B20E000001000000010100000053393E130701C4C097ABA719C5B9F940,gentoo,Cape Crewe,-54.0533,-37.1564,1999,45
46,0104000020B20E00000100000001010000000119DFE805ACEB40FAE54E3A186FCB40,gentoo,Cape Disappointment,-54.8706,-36.1172,1999,46
47,0104000020B20E0000010000000101000000DE5A2F5FCFA9E7C05B031DFAF986FB40,gentoo,Cape North 1,-53.9848,-37.7388,1999,47
48,0104000020B20E0000010000000101000000EE326020126AE7C0CC029D34CDA5FB40,gentoo,Cape North 2,-53.9804,-37.7309,1999,48
49,0104000020B20E0000010000000101000000E22B57F1000BE7C0AE1CE28CFE82FB40,gentoo,Cape North 3,-53.9855,-37.7194,1999,49
50,0104000020B20E0000010000000101000000E4B5CB29559ED9C08962D35116E4F540,gentoo,Cape Rosa 1,-54.1938,-37.4019,1999,50
51,0104000020B20E0000010000000101000000F4D4DBE4756ED8C0BD5C166E742CF640,gentoo,Cape Rosa 2,-54.1835,-37.3832,1999,51
52,0104000020B20E0000010000000101000000699DD4FFE65FE0C0F6EF08333A4DF740,gentoo,Cheapman Bay,-54.1415,-37.5131,1999,52
53,0104000020B20E00000100000001010000005310F5107D50E8C04454716C29C9FA40,gentoo,Church Bay east 1,-54.012,-37.7596,1999,53
54,0104000020B20E0000010000000101000000B44E440CE6FFE7C0730DB7A31504FB40,gentoo,Church Bay east 2,-54.0035,-37.7496,1999,54
55,0104000020B20E00000100000001010000003F4BA31E6E92E9C0FDFB79D63C87FA40,gentoo,Church Bay west 1,-54.0212,-37.7991,1999,55
56,0104000020B20E00000100000001010000003B14EB4DE620E9C0C3384DDEE998FA40,gentoo,Church Bay west 2,-54.0187,-37.7852,1999,56
57,0104000020B20E00000100000001010000007FE2A2B2F26DF240F36376538C63D640,gentoo,Cooper Bay 1,-54.7884,-35.8265,1999,57
58,0104000020B20E00000100000001010000005BF26AD3D97AF2405F37E9920D69D740,gentoo,Cooper Bay 2,-54.779,-35.8236,1999,58
59,0104000020B20E00000100000001010000007763C4052792F240CB0D0804C593D740,gentoo,Cooper Bay 3,-54.7774,-35.8178,1999,59
60,0104000020B20E0000010000000101000000809876B270C4F240B1AC70866A45D740,gentoo,Cooper Bay 4,-54.7801,-35.8053,1999,60
61,0104000020B20E00000100000001010000006D14DA1866DDF24070AF696DD994D440,gentoo,Cooper Island 1,-54.8048,-35.7983,1999,61
62,0104000020B20E0000010000000101000000E73C8AA229FCF2404EE19FCFE1AED440,gentoo,Cooper Island 2,-54.8038,-35.7907,1999,62
63,0104000020B20E0000010000000101000000D07043B3A521F340BEB917EE87A2D440,gentoo,Cooper Island 3,-54.8041,-35.7814,1999,63
64,0104000020B20E0000010000000101000000784016D22328F3406E752468DA19D440,gentoo,Cooper Island 4,-54.809,-35.7796,1999,64
65,0104000020B20E000001000000010100000051903C4E5FFEE4C07FD9846B7CAEFA40,gentoo,Craigie Point 1,-54.0164,-37.6559,1999,65
66,0104000020B20E0000010000000101000000F8A987699E25E4C078560ADAD79FFA40,gentoo,Craigie Point 2,-54.0187,-37.6295,1999,66
67,0104000020B20E00000100000001010000002425527A633ED4C0EA85D8435AC2FA40,gentoo,Crescent Island,-54.0149,-37.3162,1999,67
68,0104000020B20E0000010000000101000000B1F4EB698BF6D3406A6C3C0DE51DF440,gentoo,Cumberland Bay West - Headland Peak,-54.2594,-36.6863,1999,68
69,0104000020B20E00000100000001010000000B73B6A43BB1F1409591C2D72BB1D540,gentoo,Damien Bay 1,-54.7953,-35.8733,1999,69
70,0104000020B20E00000100000001010000006E1BEB7C48DBF1402C86AE55514DD540,gentoo,Damien Bay 2,-54.7988,-35.8627,1999,70
71,0104000020B20E00000100000001010000006C1E2C72F0D4E54020EA7F64E54EDA40,gentoo,Diaz Cove - Kuprianov Islands,-54.756,-36.3055,1999,71
72,0104000020B20E00000100000001010000003FCDC7876AFFE5401B89DA0B7677DA40,gentoo,Diaz Cove 1,-54.7545,-36.3003,1999,72
73,0104000020B20E000001000000010100000056D9981B45DFE54081F8B10B0C19DB40,gentoo,Diaz Cove 2,-54.7488,-36.3044,1999,73
74,0104000020B20E0000010000000101000000CE9D618241C4E540E5D221C1E852DB40,gentoo,Diaz Cove 3,-54.7467,-36.3077,1999,74
75,0104000020B20E0000010000000101000000989C7B27BBC4E5408FDDE6A66794DB40,gentoo,Diaz Cove 4,-54.7443,-36.3077,1999,75
